X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-12933208.6467,5403708.5245,1,1,49,ALBERTSONS COS.,250 PARKCENTER BOULEVARD,NOT AVAILABLE,BOISE,ID,83706,ADA,274000,58734,43.59974,-116.18099,BING MAPS,ADDRESS,16001,NOT AVAILABLE,HTTPS://WWW.ALBERTSONS.COM/#1,-502.2
-12929421.5576,5392879.2084,2,2,226,MICRON TECHNOLOGY,8000 SOUTH FEDERAL WAY,NOT AVAILABLE,BOISE,ID,83716,ADA,31400,12399,43.52925,-116.14697,BING MAPS,ADDRESS,16001,NOT AVAILABLE,HTTPS://WWW.MICRON.COM/,-276
-8842929.8047,4313449.0051,3,3,290,LABORATORY CORP. OF AMERICA,358 SOUTH MAIN STREET,NOT AVAILABLE,BURLINGTON,NC,27215,ALAMANCE,52000,9642,36.09317,-79.43739,BING MAPS,ADDRESS,37001,NOT AVAILABLE,HTTPS://WWW.LABCORP.COM/,732.1
-13576184.4595,4507431.9225,4,4,440,LAM RESEARCH,4650 CUSHING PARKWAY,NOT AVAILABLE,FREMONT,CA,94538,ALAMEDA,7500,5886,37.4886,-121.95694,BING MAPS,ADDRESS,06001,NOT AVAILABLE,HTTPS://WWW.LAMRESEARCH.COM/,914
-13578712.5251,4508509.4337,5,5,198,SYNNEX,44201 NOBEL DRIVE,NOT AVAILABLE,FREMONT,CA,94538,ALAMEDA,110000,14062,37.49628,-121.97965,BING MAPS,ADDRESS,06001,NOT AVAILABLE,HTTPS://WWW.SYNNEXCORP.COM/,234.9
-13568776.1474,4538596.8454,6,6,219,ROSS STORES,5130 HACIENDA DRIVE,NOT AVAILABLE,DUBLIN,CA,94568,ALAMEDA,78600,12867,37.71041,-121.89039,BING MAPS,ADDRESS,06001,NOT AVAILABLE,HTTPS://WWW.ROSSSTORES.COM/,1117.7
-13611297.9665,4551701.2044,7,7,453,CLOROX,1221 BROADWAY,NOT AVAILABLE,OAKLAND,CA,94612,ALAMEDA,8000,5761,37.80348,-122.27237,BING MAPS,ADDRESS,06001,NOT AVAILABLE,HTTPS://WWW.THECLOROXCOMPANY.COM/,648
-8935147.9841,4940009.6576,8,8,340,DICK'S SPORTING GOODS,345 COURT STREET,NOT AVAILABLE,CORAOPOLIS,PA,15108,ALLEGHENY,27550,7922,40.50779,-80.2658,BING MAPS,ADDRESS,42003,NOT AVAILABLE,HTTPS://WWW.DICKSSPORTINGGOODS.COM/,287.4
-8904985.9681,4930288.3321,9,9,279,UNITED STATES STEEL,600 GRANT STREET,NOT AVAILABLE,PITTSBURGH,PA,15219,ALLEGHENY,29800,10261,40.44136,-79.99485,BING MAPS,ADDRESS,42003,NOT AVAILABLE,HTTPS://WWW.USSTEEL.COM/,-440
-8906045.7296,4929108.028,10,10,373,WESCO INTERNATIONAL,225 WEST STATION SQUARE DRIVE,NOT AVAILABLE,PITTSBURGH,PA,15219,ALLEGHENY,9000,7336,40.43329,-80.00437,BING MAPS,ADDRESS,42003,NOT AVAILABLE,HTTPS://WWW.WESCO.COM/,101.6
-8905616.0364,4930278.0934,11,11,166,PNC FINANCIAL SERVICES GROUP,249 5TH AVENUE,NOT AVAILABLE,PITTSBURGH,PA,15222,ALLEGHENY,50683,16423,40.44129,-80.00051,BING MAPS,ADDRESS,42003,NOT AVAILABLE,HTTPS://WWW.PNC.COM/EN/PERSONAL-BANKING.HTML,3903
-8905956.674,4930077.7098,12,12,183,PPG INDUSTRIES,1 PPG PLACE,NOT AVAILABLE,PITTSBURGH,PA,15272,ALLEGHENY,47000,15178,40.43992,-80.00357,BING MAPS,ADDRESS,42003,NOT AVAILABLE,HTTP://CORPORATE.PPG.COM/HOME.ASPX,877
-9488587.3041,5018405.7959,13,13,347,STEEL DYNAMICS,7575 WEST JEFFERSON BOULEVARD,NOT AVAILABLE,FORT WAYNE,IN,46804,ALLEN,7695,7777,41.0411,-85.23743,BING MAPS,ADDRESS,18003,NOT AVAILABLE,HTTP://WWW.STEELDYNAMICS.COM/,382.1
-11676550.745,4808117.4106,14,14,328,NEWMONT MINING,6363 SOUTH FIDDLER'S GREEN CIRCLE,14TH FLOOR,GREENWOOD VILLAGE,CO,80111,ARAPAHOE,12438,8379,39.60092,-104.89224,BING MAPS,ADDRESS,08005,NOT AVAILABLE,HTTPS://WWW.NEWMONT.COM/HOME/DEFAULT.ASPX,-627
