en,pl
"Sales representatives","Przedstawiciele handlowi"
"Best performing reps","Najbardziej wydajni przedstawiciele"
"Filters","Filtry"
"Deals count","Liczba umów"
"No matching transactions.","Brak transakcji."
"Top results","Najwyższe wyniki"
"Map","Mapa"
"From date","Data od"
"To date","Data do"
"Filter by sales reps","Filtruj po przedstawicielach handlowych"
"Minimum amount","Minimalna ilość"
"Include closed deals only?","Uwzględnij tylko zamknięte sprzedaże?"
"Number of deals","Liczba transakcji"
"Sales rep","Przedstawiciel"
